股票名称,监管规则,当前累计偏离值,异动触发条件,风险等级,数据日期
航天发展,30日偏离值200%,191.91%,次日 +2.69%,极高危,1月8日
西部材料,30日偏离值200%,190.48%,次日 +3.20%,高危,1月8日
雷科防务,10日偏离值100%,93.4%,次日 +3.34%,高危,1月8日
顺灏股份,30日偏离值200%,185.28%,次日 +5.00%,高危,1月8日
再升科技,30日偏离值200%,184.34%,次日 +5.44%,高危,1月8日
通宇通讯,30日偏离值200%,183.76%,次日 +5.57%,高危,1月8日
航天环宇,10日偏离值100%,88.87%,次日 +5.66%,高危,1月8日
鹭燕医药,30日偏离值200%,178.09%,次日 +7.71%,中高,1月8日
美好医疗,10日偏离值100%,83.41%,次日 +8.85%,中高,1月8日
三博脑科,10日偏离值100%,72.02%,次日 +15.94%,安全,1月8日
必贝特,10日偏离值100%,70.17%,次日 +16.85%,安全,1月8日
蓝色光标,10日偏离值100%,69.94%,次日 +17.26%,安全,1月8日
邵阳液压,10日偏离值100%,67.87%,次日 +18.67%,安全,1月8日
信维通信,10日偏离值100%,66.19%,次日 +19.84%,安全,1月8日



























