,序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型
0,1,深股通专用,265568632.03,0.030911654524,252514710.82,0.029392204356,13053921.21,日涨幅达到15%的前5只证券
1,2,平安证券股份有限公司宁波海晏北路证券营业部,205484.0,2.3917924e-05,154539124.3,0.017988043182,-154333640.3,日涨幅达到15%的前5只证券
2,3,中国银河证券股份有限公司绍兴证券营业部,2814166.0,0.000327563261,106465211.0,0.012392336384,-103651045.0,日涨幅达到15%的前5只证券
3,4,开源证券股份有限公司徐州分公司,47534.0,5.532862e-06,100283186.23,0.011672761137,-100235652.23,日涨幅达到15%的前5只证券
4,5,东北证券股份有限公司佛山分公司,219039.0,2.5495699e-05,79429000.0,0.009245375813,-79209961.0,日涨幅达到15%的前5只证券
5,6,深股通专用,470657532.7,0.031496144571,446646813.82,0.029889360401,24010718.88,连续三个交易日内，涨幅偏离值累计达到30%的证券
6,7,平安证券股份有限公司宁波海晏北路证券营业部,292502.0,1.9574074e-05,189634143.3,0.012690213113,-189341641.3,连续三个交易日内，涨幅偏离值累计达到30%的证券
7,8,中国银河证券股份有限公司绍兴证券营业部,33103618.0,0.002215276004,187805675.0,0.012567853014,-154702057.0,连续三个交易日内，涨幅偏离值累计达到30%的证券
8,9,开源证券股份有限公司徐州分公司,87341109.16,0.005844819237,100341932.23,0.006714827203,-13000823.07,连续三个交易日内，涨幅偏离值累计达到30%的证券
9,10,东方财富证券股份有限公司拉萨金融城南环路证券营业部,83489439.0,0.005587067577,94707830.1,0.006337796172,-11218391.1,连续三个交易日内，涨幅偏离值累计达到30%的证券
